,text_clean,text_preprocessed,Polarity
17,gilaaaaak ini si keren bgt iklannya ariilll kamu juarakk gosend ga salah pilih modeleuy,"['gilaaaaak', 'si', 'keren', 'bgt', 'iklan', 'ariilll', 'juarakk', 'gosend', 'ga', 'salah', 'pilih', 'modeleuy']",Positif
18,renyah bener suaranya boriel gak kerasa liat iklan  menit lebih,"['renyah', 'bener', 'suara', 'boriel', 'gak', 'rasa', 'liat', 'iklan', 'menit']",Positif
19,rilis behind the scene nya dong min apalagi pas lagi baca narasinya kagak mungkin kagak ngakak ariel bacainnya,"['rilis', 'behind', 'the', 'scene', 'nya', 'min', 'pas', 'baca', 'narasi', 'kagak', 'kagak', 'ngakak', 'ariel', 'bacainnya']",Positif
20,tim kreatif gojek  iklannya selalu lucu  menarik kocak bgtttt mana depannya udah cool eh cuma gegara nunggu paket wkwk ternyata lagu peterpannoah aplikatif ya buat nungguin paket haha aransemen lagu menunggumu juga kece,"['tim', 'kreatif', 'gojek', 'iklan', 'lucu', 'tarik', 'kocak', 'bgtttt', 'depan', 'udah', 'cool', 'eh', 'gegara', 'nunggu', 'paket', 'wkwk', 'lagu', 'peterpannoah', 'aplikatif', 'ya', 'nungguin', 'paket', 'haha', 'aransemen', 'lagu', 'tunggu', 'kece']",Positif
21,asli na lucu kata kata lucu disuarakan secara intonasi puisi dan yang bersuara the one and only arielll,"['asli', 'na', 'lucu', 'lucu', 'suara', 'intonasi', 'puisi', 'suara', 'the', 'one', 'and', 'only', 'arielll']",Positif
22,good job gojek indonesia makasih udah ngajak ariel di iklannya lucu banget gatau lagi hahaha,"['good', 'job', 'gojek', 'indonesia', 'makasih', 'udah', 'ngajak', 'ariel', 'iklan', 'lucu', 'banget', 'gatau', 'hahaha']",Positif
23,luar biasaaaa  kreatifnya kaga ketolongan  gk cukup  x muteer iklannya  baru x ni betah banget liat iklan,"['biasaaaa', 'kreatif', 'kaga', 'tolong', 'gk', 'x', 'muteer', 'iklan', 'x', 'ni', 'betah', 'banget', 'liat', 'iklan']",Positif
24,anjirrr baru kali ini betah nengok iklan sampe detik terakhir biasanya diskip cocok jadi aktor bang  pokoknya satu kata buat bang ariel perfect,"['anjirrr', 'kali', 'betah', 'nengok', 'iklan', 'sampe', 'detik', 'skip', 'cocok', 'aktor', 'bang', 'pokok', 'bang', 'ariel', 'perfect']",Positif
25,wow keren bangetzzzzz aa ariel noah suara nya ademmmm banget recehhhhhhhhhhhhhhh banget aa ariel bikin pingin ngulang berkali kali video ini,"['wow', 'keren', 'bangetzzzzz', 'aa', 'ariel', 'noah', 'suara', 'nya', 'ademmmm', 'banget', 'recehhhhhhhhhhhhhhh', 'banget', 'aa', 'ariel', 'bikin', 'pingin', 'ngulang', 'kali', 'kali', 'video']",Positif
26,baru kli ini liat iklan ga d skip krna ada arielbgus bnget akting nya,"['kli', 'liat', 'iklan', 'ga', 'd', 'skip', 'krna', 'arielbgus', 'bnget', 'akting', 'nya']",Netral
27,krennnn banget luar biasa kolaborasi,"['krennnn', 'banget', 'kolaborasi']",Positif
28,kak ariel emang nggak ada lawan nya  hebat karyakarya nya,"['kak', 'ariel', 'emang', 'nggak', 'lawan', 'nya', 'hebat', 'karyakarya', 'nya']",Positif
29,edas niat banget nih bikin iklan gosen luar biasaaa,"['edas', 'niat', 'banget', 'nih', 'bikin', 'iklan', 'gosen', 'biasaaa']",Positif
30,oh my god garagara menunggu saya jadi nonton ikan ini berkalikali padahal nonton iklan lain yg autoplay aja males pngn cepet diskip,"['oh', 'my', 'god', 'garagara', 'tunggu', 'nonton', 'ikan', 'berkalikali', 'nonton', 'iklan', 'yg', 'autoplay', 'aja', 'males', 'pngn', 'cepet', 'skip']",Positif
31,syairnya bagus bikin senyum sendiri,"['syair', 'bagus', 'bikin', 'senyum']",Positif
32,kang boriel turun tangan langsung jadi super keren hasilnya kolaborasi yang keren gosendkang borielrepetisi membuat gergaji gaji yang gernyuci motor tetangga kaya kang armand agak miripgitar dipetik padahal buah yang dipetiksalah kirim buat nunung hahahahabuat videonya niatnarasinya niatsemuanya niat dan akhirnya menghasilkan sesuatu yang luar biasa  iklan pertama yang saya tonton full tanpa di skiplanjoet,"['kang', 'boriel', 'turun', 'tangan', 'langsung', 'super', 'keren', 'hasil', 'kolaborasi', 'keren', 'gosendkang', 'borielrepetisi', 'gergaji', 'gaji', 'gernyuci', 'motor', 'tetangga', 'kaya', 'kang', 'armand', 'miripgitar', 'petik', 'buah', 'dipetiksalah', 'kirim', 'nunung', 'hahahahabuat', 'video', 'niatnarasinya', 'niatsemuanya', 'niat', 'hasil', 'iklan', 'tonton', 'full', 'skiplanjoet']",Positif
33,menghibur sekali iklan ini wkwk keren konsepnya,"['hibur', 'iklan', 'wkwk', 'keren', 'konsep']",Positif
34,keren banget iklan ini sangat menghibur,"['keren', 'banget', 'iklan', 'hibur']",Positif
35,kalau ariel buat filim cinta  ga tahu berpa ramai orng pergi tengok huhu mmng dah best my idola,"['ariel', 'filim', 'cinta', 'ga', 'berpa', 'ramai', 'orng', 'pergi', 'tengok', 'huhu', 'mmng', 'dah', 'best', 'my', 'idola']",Positif
36,keren bgt kang boril kocak dan kata nya bagus  pas di akhir ternyata ordernya sepatu harus nya collab sma brand sepatu yg kang boril pakai itu lho aku jg kepengen sepatu nya keren tp blm ke sampean buat beliwkwkwkwkwk,"['keren', 'bgt', 'kang', 'boril', 'kocak', 'nya', 'bagus', 'pas', 'order', 'sepatu', 'nya', 'collab', 'sma', 'brand', 'sepatu', 'yg', 'kang', 'boril', 'pakai', 'lho', 'jg', 'ken', 'sepatu', 'nya', 'keren', 'tp', 'blm', 'sampean', 'beliwkwkwkwkwk']",Positif
37,kocak bet dah  waktu si ibu bilang mirip ariel yaa ahhh engga jauhhhh  xixixix,"['kocak', 'bet', 'dah', 'si', 'bilang', 'ariel', 'yaa', 'ahhh', 'engga', 'jauhhhh', 'xixixix']",Positif
38,kerenwalaupun jadi ketawa pas ariel teriak gokil  tapi lucu,"['kerenwalaupun', 'ketawa', 'pas', 'ariel', 'teriak', 'gokil', 'lucu']",Negatif
39,momen lucu ketika boriel nyuci motor tetangga tanpa sadar ketika pemiliknya keluar teriak oi ril ketika itu juga boriel kabur,"['momen', 'lucu', 'boriel', 'nyuci', 'motor', 'tetangga', 'sadar', 'milik', 'teriak', 'oi', 'ril', 'boriel', 'kabur']",Positif
40,mau tertawa apa terpesona sih,"['tertawa', 'pesona', 'sih']",Positif
41,waww kereenn gosen bisa pakek ariel luarrrr biasaa bhd aak boriel sehat ya kang,"['waww', 'kereenn', 'gosen', 'pakek', 'ariel', 'luarrrr', 'biasaa', 'bhd', 'aak', 'boriel', 'sehat', 'ya', 'kang']",Positif
42,woooowwboriel bintang iklan gojekseneng deehhaku pelanggan gojekjadi bisa lihat boriel terus setiap ada iklan nya,"['woooowwboriel', 'bintang', 'iklan', 'gojekseneng', 'deehhaku', 'langgan', 'gojekjadi', 'lihat', 'boriel', 'iklan', 'nya']",Netral
43,woooooow wkkwkw ide sama pemerannya out of the box sekali maju terus gojek  ariel  noahnya,"['woooooow', 'wkkwkw', 'ide', 'per', 'out', 'of', 'the', 'box', 'maju', 'gojek', 'ariel', 'noahnya']",Netral
44,ikalannya jadi menarik sih salut tim kreatif gojeknya boriel juga kocak disini,"['ikal', 'tarik', 'sih', 'salut', 'tim', 'kreatif', 'gojek', 'boriel', 'kocak']",Positif
45,salah satu iklan terbaik buatan anak bangsa keren atau kerna ariel jadi keren hahaa,"['salah', 'iklan', 'baik', 'buat', 'anak', 'bangsa', 'keren', 'kerna', 'ariel', 'keren', 'hahaa']",Positif
46,another iklan yg ga gua skip selain iklan head and shoulders nya joe taslim,"['another', 'iklan', 'yg', 'ga', 'gua', 'skip', 'iklan', 'head', 'and', 'shoulders', 'nya', 'joe', 'taslim']",Netral
47,kocak abissss  gak nyangka bang boriel bisa acting lucu kyk gitu,"['kocak', 'abissss', 'gak', 'nyangka', 'bang', 'boriel', 'acting', 'lucu', 'kyk', 'gitu']",Positif
48,iklannya keren karena ada aa boriel keren bgt acting dan katanya  sukses trus aa,"['iklan', 'keren', 'aa', 'boriel', 'keren', 'bgt', 'acting', 'sukses', 'trus', 'aa']",Positif
49,denger suara ariel bkin hati adeeem,"['denger', 'suara', 'ariel', 'bkin', 'hati', 'adeeem']",Netral
50,diulang terus nontonnyaaaaa,"['ulang', 'nontonnyaaaaa']",Netral
51,bisa keren gitu yah iklannyabikin senyum sendri hahahaha,"['keren', 'gitu', 'yah', 'iklannyabikin', 'senyum', 'sendri', 'hahahaha']",Positif
52,gokil kang ariel x gosend,"['gokil', 'kang', 'ariel', 'x', 'gosend']",Negatif
53,story telling nya mantep dahh s marketing,"['story', 'telling', 'nya', 'mantep', 'dahh', 's', 'marketing']",Positif
54,satu kata buat ariel keren,"['ariel', 'keren']",Positif
55,auto trending satuariel luar biasa,"['auto', 'trending', 'satuariel']",Netral
56,narasi nya keren akting nya real bangeddan permisiii pakettttkata merdu di masa pandemihahahahamirip ariel yagak ah jauhhh  keren abizzz,"['narasi', 'nya', 'keren', 'akting', 'nya', 'real', 'bangeddan', 'permisiii', 'pakettttkata', 'merdu', 'pandemihahahahamirip', 'ariel', 'yagak', 'ah', 'jauhhh', 'keren', 'abizzz']",Positif
57,kerennnnnnn bangetdan yg lebih lucu nya lagi sangkin menunggu nya ariel nyuci kreta tetangga  aku baru ngah,"['kerennnnnnn', 'bangetdan', 'yg', 'lucu', 'nya', 'sangkin', 'tunggu', 'nya', 'ariel', 'nyuci', 'kreta', 'tetangga', 'ngah']",Positif
58,gila keren banget ka ariel,"['gila', 'keren', 'banget', 'ka', 'ariel']",Positif
59,ngomong soal gaji apakah gergaji adalah gaji yang lebih ger keren bang boril bisa receh juga ternyata wkwkwk,"['ngomong', 'gaji', 'gergaji', 'gaji', 'ger', 'keren', 'bang', 'boril', 'receh', 'wkwkwk']",Positif
60,mewakili saya ketika belanja online anjir mirip kisahnya kek gua,"['wakil', 'belanja', 'online', 'anjir', 'kisah', 'kek', 'gua']",Netral
61,malaysia adir ariel memang keren banget mantap pandai buat lawak,"['malaysia', 'adir', 'ariel', 'keren', 'banget', 'mantap', 'pandai', 'lawak']",Positif
62,sebenernya masih bingung kalo pake gosend untuk ambil barang di lokasi lain untuk di anter ke lokasi kita sekarang jadi aku pake goride untuk gitu tapi ga semua driver mau kalo kaya gitu pake goride,"['sebenernya', 'bingung', 'kalo', 'pake', 'gosend', 'ambil', 'barang', 'lokasi', 'anter', 'lokasi', 'pake', 'goride', 'gitu', 'ga', 'driver', 'kalo', 'kaya', 'gitu', 'pake', 'goride']",Negatif
63,baru kali ini aku liat iklan di pencet biasanya di skip soalnya mah yg bawain ariel noah,"['kali', 'liat', 'iklan', 'pencet', 'skip', 'mah', 'yg', 'bawain', 'ariel', 'noah']",Netral
64,baru kali ini iklan gojek yang sangat bagus dan memukau  boril keren dah tema vidio iklannya sedih nya ada lucu nya ada semoga gojek makin sukses dan jaya di indonesia,"['kali', 'iklan', 'gojek', 'bagus', 'pukau', 'boril', 'keren', 'dah', 'tema', 'vidio', 'iklan', 'sedih', 'nya', 'lucu', 'nya', 'moga', 'gojek', 'sukses', 'jaya', 'indonesia']",Positif
65,paket datang ternyata salkir lalu dan terjadi lagi  plot twist  sabar ya bor,"['paket', 'salkir', 'plot', 'twist', 'sabar', 'ya', 'bor']",Netral
66,kreatif komedinya dapet tp arielnya tetep ganteng,"['kreatif', 'komedi', 'dapet', 'tp', 'arielnya', 'tetep', 'ganteng']",Positif
67,keren buanget euy mang boril udh kasep bisa puitisngalawakini mah hrs aing share biar trending bahkan kalau aing nggk share aja mungkin trending buanget ini,"['keren', 'buanget', 'euy', 'mang', 'boril', 'udh', 'kasep', 'puitisngalawakini', 'mah', 'hrs', 'aing', 'share', 'biar', 'trending', 'aing', 'nggk', 'share', 'aja', 'trending', 'buanget']",Positif
68,sejarah hidup gua nonton iklan terniat dan diulang ulang,"['sejarah', 'hidup', 'gua', 'nonton', 'iklan', 'niat', 'ulang', 'ulang']",Netral
69,acting ariel keren juga,"['acting', 'ariel', 'keren']",Positif
70,bikin webseries keren nih kayanya,"['bikin', 'webseries', 'keren', 'nih', 'kaya']",Positif
71,luar biasa gojek kian melambung dengan ad nya ariel noah,"['gojek', 'kian', 'lambung', 'ad', 'nya', 'ariel', 'noah']",Netral
72,kebnyakan bergaul sama bang haji andre ini jadi lucu wkwkwk,"['kebnyakan', 'gaul', 'bang', 'haji', 'andre', 'lucu', 'wkwkwk']",Positif
73,konsep yg matang salut buat gojek,"['konsep', 'yg', 'matang', 'salut', 'gojek']",Netral
74,intonasi puisinya anjim banget ditambah suaranya bikin merinding,"['intonasi', 'puisi', 'anjim', 'banget', 'tambah', 'suara', 'bikin', 'merinding']",Positif
75,njiiirr keren pisun euyy mantap aktingnya si akang,"['njiiirr', 'keren', 'pisun', 'euyy', 'mantap', 'akting', 'si', 'akang']",Positif
76,mantap gojek selalu bagus iklannya  ohiya durasi iklannya kurang lama  bikin sejam dong kuota kemdikbud saya masih banyak nih soalnya,"['mantap', 'gojek', 'bagus', 'iklan', 'ohiya', 'durasi', 'iklan', 'bikin', 'jam', 'kuota', 'kemdikbud', 'nih']",Positif
77,ngelawak dengan cara keren,"['ngelawak', 'keren']",Positif
78,ala anak indie dengan komedi,"['ala', 'anak', 'indie', 'komedi']",Netral
79,perkara nunggu paket ampe bersihin motor tetangga hahaha boriel gokiill,"['perkara', 'nunggu', 'paket', 'ampe', 'bersihin', 'motor', 'tetangga', 'hahaha', 'boriel', 'gokiill']",Positif
80,lucu boriltrus kata nya bkin meleleh,"['lucu', 'boriltrus', 'nya', 'bkin', 'leleh']",Positif
81,iklan terbaik video klip terbaik bintang di surga,"['iklan', 'baik', 'video', 'klip', 'baik', 'bintang', 'surga']",Positif
82,iklan yang saya tonton sampai habis terus di ulang lagi magnet,"['iklan', 'tonton', 'habis', 'ulang', 'magnet']",Netral
83,secara tidak sadar itu yg ngomong mas  lagi nunggu paket ya kang lukman kurir wkwkwk,"['sadar', 'yg', 'ngomong', 'mas', 'nunggu', 'paket', 'ya', 'kang', 'lukman', 'kurir', 'wkwkwk']",Positif
84,seandainya kita semua cinta buatan indonesia insyaallah kita membantu gojek dan mitra maju sejahteraamin,"['anda', 'cinta', 'buat', 'indonesia', 'insyaallah', 'bantu', 'gojek', 'mitra', 'maju', 'sejahteraamin']",Positif
85,gergaji adalah gaji yang lebih ger wadaaww,"['gergaji', 'gaji', 'ger', 'wadaaww']",Netral
86,luarrrrrrrrrrrrr biasa,['luarrrrrrrrrrrrr'],Netral
87,hadiah ulang tahun terlucu  happy birthday aa,"['hadiah', 'ulang', 'lucu', 'happy', 'birthday', 'aa']",Positif
88,siapapun yg colab sama ariel noah auto saya like komen dan subscribe btw konten nya totalitas banget sumpah,"['yg', 'colab', 'ariel', 'noah', 'auto', 'like', 'komen', 'subscribe', 'btw', 'konten', 'nya', 'totalitas', 'banget', 'sumpah']",Positif
89,iri ga iri lah masa ngak ngakak njirr,"['iri', 'ga', 'iri', 'ngak', 'ngakak', 'njirr']",Positif
90,gila sih penggalan lagunya di satukan sama kejdian menunggu paket datang mantep sih konsepnya gojek pasti ada aja jalan buat nambahin customer nye nyenengin customer nya,"['gila', 'sih', 'penggal', 'lagu', 'satu', 'kejdian', 'tunggu', 'paket', 'mantep', 'sih', 'konsep', 'gojek', 'aja', 'jalan', 'nambahin', 'customer', 'nye', 'nyenengin', 'customer', 'nya']",Positif
91,baru dengar bang boriel teriaknya lepas keren,"['dengar', 'bang', 'boriel', 'teriak', 'lepas', 'keren']",Positif
92,keren iklannya sampai ngak aku skip,"['keren', 'iklan', 'ngak', 'skip']",Positif
93,ayo bang boriel keluarkan bakat lawakmu selanjutnya ditunggu loh eheheh,"['ayo', 'bang', 'boriel', 'keluar', 'bakat', 'lawak', 'tunggu', 'loh', 'eheheh']",Netral
94,luar biasa keren kreasi gojek x noah,"['keren', 'kreasi', 'gojek', 'x', 'noah']",Positif
95,jadi in brand ambasador nya gosend donk,"['in', 'brand', 'ambasador', 'nya', 'gosend', 'donk']",Netral
96,gokil sih ini tim kreatif nya biasanya klo iklan di skip haha,"['gokil', 'sih', 'tim', 'kreatif', 'nya', 'klo', 'iklan', 'skip', 'haha']",Positif
97,girl  mirip ariel yah boy  ah enggak jauh,"['girl', 'ariel', 'yah', 'boy', 'ah']",Netral
98,narasinya gokiillllll,"['narasi', 'gokiillllll']",Netral
99,liat berkali nggk bosen masih senyum sndiri,"['liat', 'kali', 'nggk', 'bosen', 'senyum', 'sndiri']",Negatif
100,suarx itu lho yaa allah mantul bgett sukses trz kk arieel,"['suarx', 'lho', 'yaa', 'allah', 'mantul', 'bgett', 'sukses', 'trz', 'kk', 'arieel']",Positif
101,aduh emang keren deh karya anak indonesia bangga bgt  karna sepatuh aku disini,"['aduh', 'emang', 'keren', 'deh', 'karya', 'anak', 'indonesia', 'bangga', 'bgt', 'karna', 'patuh']",Positif
102,pas lihat paket ini bukan aku pemiliknya  auto ngakak lihat ekspresi boriel,"['pas', 'lihat', 'paket', 'milik', 'auto', 'ngakak', 'lihat', 'ekspresi', 'boriel']",Positif
103,iklan apapun asal ba nya ariel noah ga akan di skip malah ditonton berulang ulang kali wkwwkw,"['iklan', 'apa', 'ba', 'nya', 'ariel', 'noah', 'ga', 'skip', 'tonton', 'ulang', 'ulang', 'kali', 'wkwwkw']",Netral
104,kereeen ditonton berulang kali tetep aja ngakak,"['kereeen', 'tonton', 'ulang', 'kali', 'tetep', 'aja', 'ngakak']",Positif
105,baru kali ini nonton iklan diulangulang biasanya langsung skip hahaha,"['kali', 'nonton', 'iklan', 'diulangulang', 'langsung', 'skip', 'hahaha']",Positif
106,gabut  gaji buta,"['gabut', 'gaji', 'buta']",Negatif
107,ariel orang cerdas ariel sang puitis aeielsang penulis arielsang arsitek arielsang penakhluk wanita ariel jugasang rendah hati sukses kang ariel,"['ariel', 'orang', 'cerdas', 'ariel', 'sang', 'puitis', 'aeielsang', 'tulis', 'arielsang', 'arsitek', 'arielsang', 'penakhluk', 'wanita', 'ariel', 'jugasang', 'rendah', 'hati', 'sukses', 'kang', 'ariel']",Positif
108,narasinya bagus peran arielnya juga bagus keren lah gosend,"['narasi', 'bagus', 'peran', 'arielnya', 'bagus', 'keren', 'gosend']",Positif
109,keren nih agency nya,"['keren', 'nih', 'agency', 'nya']",Positif
110,siapapun tim produksi iklan ini elu kereenn bangeet,"['tim', 'produksi', 'iklan', 'elu', 'kereenn', 'bangeet']",Positif
111,gokil ariel actingnya,"['gokil', 'ariel', 'actingnya']",Negatif
112,coba ariel yg jadi kurirnyaa beuhh seneng banget wkwkwk,"['coba', 'ariel', 'yg', 'kurirnyaa', 'beuhh', 'neng', 'banget', 'wkwkwk']",Positif
113,ini baru iklan yang sangat ciamik ide cerita nya lucu bagus  ini iklan terbaik yang pernah aku liat pintar yang buat iklan nya,"['iklan', 'ciamik', 'ide', 'cerita', 'nya', 'lucu', 'bagus', 'iklan', 'baik', 'liat', 'pintar', 'iklan', 'nya']",Positif
114,mampir kesini karna bang ariel gokil banget sih ini iklan sampe ngakak gue tiap dialognya kreatif banget sumpah,"['mampir', 'kesini', 'karna', 'bang', 'ariel', 'gokil', 'banget', 'sih', 'iklan', 'sampe', 'ngakak', 'gue', 'dialog', 'kreatif', 'banget', 'sumpah']",Positif
115,hbrd wish you all the best ariel,"['hbrd', 'wish', 'you', 'all', 'the', 'best', 'ariel']",Positif
116,iklanya ditonton berulang ulang tetep ng bosenin,"['iklanya', 'tonton', 'ulang', 'ulang', 'tetep', 'ng', 'bosenin']",Netral
117,sahabat noah nusantara,"['sahabat', 'noah', 'nusantara']",Netral
118,rumahnya no  h canda noah,"['rumah', 'no', 'h', 'canda', 'noah']",Netral
119,dari dulu katakata boriel sangat puitis,"['katakata', 'boriel', 'puitis']",Positif
120,dah cocok tuh bang boriel main film donk,"['dah', 'cocok', 'tuh', 'bang', 'boriel', 'main', 'film', 'donk']",Positif
121,gojek kan paling jago kalo bikin iklan dari komedi sampe serius bisa mantab,"['gojek', 'jago', 'kalo', 'bikin', 'iklan', 'komedi', 'sampe', 'serius', 'mantab']",Positif
122,gak cowo gak cewe liat ariel pasti terkesimapanutan emang,"['gak', 'cowo', 'gak', 'cewe', 'liat', 'ariel', 'terkesimapanutan', 'emang']",Netral
123,epic,['epic'],Positif
124,anjiiirrrr kok ngakak endingnya,"['anjiiirrrr', 'ngakak', 'endingnya']",Positif
125,kocaaaakkkkkkk ada aja idenya keren,"['kocaaaakkkkkkk', 'aja', 'ide', 'keren']",Positif
126,kesini gegara iklan gosend di efbeh,"['kesini', 'gegara', 'iklan', 'gosend', 'efbeh']",Netral
127,kerendisini ariel akting nyanyi dan baca narasinya jg,"['kerendisini', 'ariel', 'akting', 'nyanyi', 'baca', 'narasi', 'jg']",Positif
128,gw yakin rating gojek beberapa hari ke depan langsung naikwalau recehsetidaknya seorang ariel bisa ngelawakdan berakting,"['gw', 'rating', 'gojek', 'langsung', 'naikwalau', 'recehsetidaknya', 'ariel', 'ngelawakdan', 'akting']",Negatif
129,duuuhhhh suara kamu bang ariel,"['duuuhhhh', 'suara', 'bang', 'ariel']",Netral
130,jadi tambah semangat nih bos gw sebagai mitra gojek prioritas gosend smngtttt,"['semangat', 'nih', 'bos', 'gw', 'mitra', 'gojek', 'prioritas', 'gosend', 'smngtttt']",Netral
131,ngakak  kereenn bgt siii,"['ngakak', 'kereenn', 'bgt', 'siii']",Positif
132,lucu sii kirain motor dia yang di cuci eh motor orang ternyata,"['lucu', 'sii', 'kirain', 'motor', 'cuci', 'eh', 'motor', 'orang']",Positif
133,makasih gosend bisa buat aril stand up comedy,"['makasih', 'gosend', 'aril', 'stand', 'up', 'comedy']",Positif
134,bang ariel cocok kalo solo karier suaranya sgt akustik,"['bang', 'ariel', 'cocok', 'kalo', 'solo', 'karier', 'suara', 'sgt', 'akustik']",Positif
135,gokillll,['gokillll'],Netral
136,keren banget ariel gak salah dari awal mengidolakan sosok nya mantap banget,"['keren', 'banget', 'ariel', 'gak', 'salah', 'idola', 'sosok', 'nya', 'mantap', 'banget']",Positif
137,aku baru nonton iklan ini baguss wooii lucuu relate banget sama kebiasaan orang negara ini,"['nonton', 'iklan', 'baguss', 'wooii', 'lucuu', 'relate', 'banget', 'biasa', 'orang', 'negara']",Positif
138,keren bintang iklannya lord boril,"['keren', 'bintang', 'iklan', 'lord', 'boril']",Positif
139,anjirr boriell bisa ngelawakkk,"['anjirr', 'boriell', 'ngelawakkk']",Positif
140,yo ngakak yo sedih ya ela ril boril,"['yo', 'ngakak', 'yo', 'sedih', 'ya', 'ela', 'ril', 'boril']",Positif
141,suaranya joss banget didenger pake headset baru kali ini gw sengaja nge klik iklan haha,"['suara', 'joss', 'banget', 'didenger', 'pake', 'headset', 'kali', 'gw', 'sengaja', 'nge', 'klik', 'iklan', 'haha']",Positif
